Distance [m] 	Depth [m]
0.0	0.0
305.49462991981426	0.0
610.9892598396285	-49.91999816894531
916.4838897594427	-50.81999969482422
1221.978519679257	-49.779998779296875
1527.4731495990713	-48.380001068115234
1832.9677795188854	-46.7599983215332
2138.4624094387	-47.25
2443.957039358514	-65.26000213623047
2749.451669278328	-68.55999755859375
3054.9462991981427	-71.5999984741211
3360.440929117957	-78.2300033569336
3665.935559037771	-79.05000305175781
3971.4301889575854	-84.33000183105469
4276.9248188774	-85.12000274658203
4582.419448797214	-82.93000030517578
4887.914078717028	-94.3499984741211
5193.408708636843	-94.4000015258789
5498.903338556656	-97.26000213623047
5804.397968476471	-96.5199966430664
6109.892598396285	-105.86000061035156
6415.387228316099	-103.41000366210938
6720.881858235914	-100.11000061035156
7026.376488155728	-107.55000305175781
7331.871118075542	-107.55999755859375
7637.365747995356	-107.43000030517578
7942.860377915171	-109.41000366210938
8248.355007834985	-111.19000244140625
8553.8496377548	-113.01000213623047
8859.344267674613	-113.45999908447266
9164.838897594427	-109.98999786376953
9470.333527514242	-101.0999984741211
9775.828157434056	-89.44999694824219
10081.32278735387	-118.73999786376953
10386.817417273685	-119.80000305175781
10692.3120471935	-110.0199966430664
10997.806677113313	-72.97000122070312
11303.301307033127	-54.529998779296875
11608.795936952942	-63.59000015258789
11914.290566872756	-73.66000366210938
12219.78519679257	-66.05999755859375
12525.279826712385	-80.52999877929688
12830.774456632198	-80.45999908447266
13136.269086552013	-77.02999877929688
13441.763716471827	-72.94000244140625
13747.258346391642	-79.55000305175781
14052.752976311456	-79.51000213623047
14358.24760623127	-76.25
14663.742236151083	-76.38999938964844
14969.236866070898	-80.20999908447266
15274.731495990713	-81.58999633789062
15580.226125910527	-81.75
15885.720755830342	-91.76000213623047
16191.215385750156	-100.48999786376953
16496.71001566997	-112.23999786376953
16802.204645589783	-111.31999969482422
17107.6992755096	-110.37999725341797
17413.193905429413	-115.20999908447266
17718.688535349225	-120.95999908447266
18024.18316526904	-176.77999877929688
18329.677795188854	-170.38999938964844
18635.17242510867	-176.9499969482422
18940.667055028483	-183.64999389648438
19246.1616849483	-188.8300018310547
19551.656314868113	-194.19000244140625
19857.150944787925	-201.13999938964844
20162.64557470774	-205.85000610351562
20468.140204627554	-210.27999877929688
20773.63483454737	-215.1999969482422
